Calculation1,Female,State/District,Total,Area (Sq. Km),Literacy Rate Rank,Rural Literacy Rate Female,Rural Literacy Rate Male,Rural population Female,Rural Population Male,Rural Scheduled Caste Literacy Rate female,Rural Scheduled Caste Literacy Rate male,Rural Scheduled Tribes Literacy Rate female,Rural Scheduled Tribes Literacy Rate male,Scheduled Castes Literacy Rate Female,Scheduled Castes Literacy Rate Male,Scheduled Castes Literacy Rate Rank,Scheduled Tribes Literacy Rate Female,Scheduled Tribes Literacy Rate Male,Scheduled Tribes Literacy Rate Rank,Sl.No,Total Literacy Rate,Total Literacy Rate Female,Total Literacy Rate Male,Total Population,Total population Female,Total Population Male,Total Rural Literacy Rate,Total Rural Population,Total Rural Scheduled Caste Literacy Rate,Total Rural Scheduled Castes,Total Rural Scheduled Castes Female,Total Rural Scheduled Castes Male,Total Rural Scheduled Tribes,Total Rural Scheduled Tribes Female,Total Rural Scheduled Tribes Literacy Rate,Total Rural Scheduled Tribes Male,Total Scheduled Castes,Total Scheduled Castes Female,Total Scheduled Castes Literacy Rate,Total Scheduled Castes Male,Total Scheduled Tribes,Total Scheduled Tribes Female,Total Scheduled Tribes Literacy Rate,Total Scheduled Tribes Male,Total Urban Literacy Rate,Total Urban Population,Total Urban Scheduled Caste Literacy Rate,Total Urban Scheduled Castes,Total Urban Scheduled Castes Female,Total Urban Scheduled Castes Male,Total Urban Scheduled Tribes,Total Urban Scheduled Tribes Female,Total Urban Scheduled Tribes Literacy Rate,Total Urban Scheduled Tribes Male,Urban Literacy Rate Female,Urban Literacy Rate Male,Urban population Female,Urban Population Male,Urban Scheduled Caste Literacy Rate female,Urban Scheduled Caste Literacy Rate male,Urban Scheduled Tribes Literacy Rate female,Urban Scheduled Tribes Literacy Rate male
>=85,Female,Chennai,Total,175,2,,,,,,,,,78.52,88.79,2,80.22,88.44,1,1,90.18,86.64,93.7,4646732,2310888,2335844,,,,,,,,,,,779667,390666,83.63,389001,10061,4854,84.47,5207,90.18,4646732,83.63,779667,390666,389001,10061,4854,84.47,5207,86.64,93.7,2310888,2335844,78.52,88.79,80.22,88.44
<85 to >=75,Female,Kancheepuram,Total,4483,5,68.2,83.63,724937,734979,65.04,80.24,43.76,53.14,70.44,84.2,8,49.39,60.42,21,2,84.49,79.02,89.89,3998252,1985294,2012958,75.95,1459916,72.63,550997,275277,275720,27057,13571,48.42,13486,948081,473817,77.31,474264,41210,20605,54.9,20605,89.39,2538336,83.83,397084,198540,198544,14153,7034,66.92,7119,85.24,93.49,1260357,1277979,77.96,89.72,60,73.72
<85 to >=75,Female,Thiruvallur,Total,3394,6,66.09,82.45,649247,650462,64.67,80.68,43.25,54.33,71.36,85.38,7,48.16,59.76,23,3,84.03,78.32,89.69,3728104,1852042,1876062,74.25,1299709,72.62,451999,226650,225349,35044,17523,48.78,17521,821646,411120,78.34,410526,47243,23551,53.96,23692,89.25,2428395,85.34,369647,184470,185177,12199,6028,68.64,6171,84.92,93.53,1202795,1225600,79.59,91.1,62.19,75.03
<85 to >=75,Female,Cuddalore,Total,3703,19,64.48,82.85,851864,868861,60.89,77.97,45.48,59.82,63.19,79.69,19,48.58,62.66,20,4,78.04,70.14,85.93,2605914,1294217,1311697,73.69,1720725,69.44,609922,302913,307009,9923,4949,52.61,4974,763944,380001,71.44,383943,15702,7759,55.65,7943,86.38,885189,79.23,154022,77088,76934,5779,2810,60.9,2969,80.9,91.88,442353,442836,72.11,86.41,54.08,67.41
<75,Female,Villupuram,Total,7194,29,60.33,78.75,1458310,1481475,56.93,74.62,36.15,49.98,57.99,75.46,28,37.47,51.3,32,5,71.88,63.15,80.55,3458873,1718054,1740819,69.59,2939785,65.82,924896,459252,465644,71370,35581,43.05,35789,1015716,504847,66.76,510869,74859,37289,44.38,37570,84.74,519088,76.25,90820,45595,45225,3489,1708,70.66,1781,78.82,90.71,259744,259344,68.56,84.08,64.31,76.69
<85 to >=75,Female,Vellore,Total,6075,17,66.08,83.39,1117243,1117101,69.34,84.12,39.48,58.07,72.54,85.96,5,41.67,59.86,26,6,79.17,71.95,86.5,3936331,1974643,1961688,74.7,2234344,76.65,547724,276007,271717,65015,32340,48.75,32675,860212,435544,79.14,424668,72955,36292,50.75,36663,85.01,1701987,83.49,312488,159537,152951,7940,3952,66.78,3988,79.56,90.59,857400,844587,78.05,89.21,59.45,74
<75,Female,Tiruvannamalai,Total,6188,26,62.05,81.18,980204,989726,61.49,78.71,36.92,55.64,63.03,79.84,20,37.53,56.02,30,7,74.21,65.32,83.11,2464875,1228986,1235889,71.62,1969930,70.09,493925,246468,247457,86775,42911,46.33,43864,565329,282714,71.41,282615,90954,44998,46.81,45956,84.41,494945,80.44,71404,36246,35158,4179,2087,56.94,2092,78.13,90.8,248782,246163,73.4,87.76,50.08,63.82
<75,Female,Salem,Total,5237,27,56.32,74.57,824660,883274,55.05,73.37,41.1,58.44,60.51,77.43,22,43.17,60.39,25,8,72.86,65.15,80.24,3482056,1700485,1781571,65.74,1707934,64.39,318693,156090,162603,110233,54427,49.83,55806,580512,286450,69.08,294062,119369,58880,51.85,60489,79.67,1774122,74.76,261819,130360,131459,9136,4453,75.67,4683,73.43,85.79,875825,898297,67.02,82.45,67.99,83.02
<75,Female,Namakkal,Total,3420,24,62.36,80.21,509792,520684,55.83,72.6,51.33,68.14,57.76,74.17,29,52.23,68.73,17,9,74.63,66.57,82.64,1726601,857321,869280,71.34,1030476,64.26,244098,121150,122948,55326,26835,59.91,28491,345392,171419,66,173973,57059,27676,60.65,29383,79.51,696125,70.21,101294,50269,51025,1733,841,83.94,892,72.77,86.28,347529,348596,62.41,77.95,80.61,87.08
<75,Female,Dharmapuri,Total,4497,32,56.47,74.69,602716,643215,57.61,76.5,48.65,64.28,59.56,77.87,25,49.21,64.75,18,10,68.54,59.8,76.85,1506843,732540,774303,65.86,1245931,67.22,207187,101631,105556,60385,29655,56.57,30730,245392,120686,68.85,124706,63044,30914,57.09,32130,81.21,260912,77.59,38205,19055,19150,2659,1259,69.14,1400,75.07,87.33,129824,131088,69.87,85.3,62.53,75.21
